2017-01-15 14:57:51,067 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HibernateExample:HibernateExample:0.0.1-SNAPSHOT @ D:\sphinx\HibernateExample\pom.xml.
2017-01-15 14:57:51,073 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HibernateExample:HibernateExample:0.0.1-SNAPSHOT @ D:\sphinx\HibernateExample\pom.xml.
2017-01-15 14:57:53,745 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-15 14:57:53,761 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\sphinx\HibernateExample\src\main\resources
2017-01-15 14:57:53,768 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-15 14:57:53,780 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\sphinx\HibernateExample\src\test\resources
2017-01-15 14:57:57,503 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HibernateExample:HibernateExample:0.0.1-SNAPSHOT @ D:\sphinx\HibernateExample\pom.xml.
2017-01-15 14:57:58,383 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-15 14:57:58,399 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\sphinx\HibernateExample\src\main\resources
2017-01-15 14:57:58,405 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-15 14:57:58,419 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\sphinx\HibernateExample\src\test\resources
